,DATE,MESSAGE
0,11/9/2022,"𝗦𝘁𝗮𝗰𝗸𝗲𝗱 𝗟𝗶𝘃𝗶𝗻𝗴 𝗜𝗻

in an HDB home, and that there are only about 284 HDB landed units, that makes this week’s home a really really rare one. Homeowners Grace and Wei Xiang (together with their dogs Truffle & Chanko) always knew that they wanted something different, and when they found this landed HDB home at Jalan Bahagia they knew that this was it. It’s a 2-storey landed unit, with about 1,000 square feet of built up space, and 1,400 square feet of land. 

They created a Japanese Zen garden in the front of their home by levelling out the whole porch, and it’s a really tranquil spot to sit and have a cup of tea. It’s certainly a really relaxing sight to see everything you get home.

𝗪𝗮𝘁𝗰𝗵 𝗡𝗼𝘄 ➡️ https://youtu.be/DTj3X10DSIg"
1,11/9/2022,"𝗣𝗿𝗼𝗽𝗲𝗿𝘁𝘆 𝗣𝗶𝗰𝗸𝘀

If you're in the market for a 2-bedroom new launch unit, you're probably familiar with the kitchen running along the wall in an open fashion. Considering the limited amount of space, those looking for enclosed kitchen options in such units may find it a rarity. In this article, we look at 6 such 2-bedroom new launch units that feature enclosed kitchens as part of their offering.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/6-hard-to-find-new-launch-2-bedders-with-easily-enclosed-kitchens/"
2,10/9/2022,"𝗥𝗲𝘀𝗮𝗹𝗲 𝗛𝗗𝗕

Many Singaporeans think that buying the biggest HDB flat they can afford to be a smart decision: first, for future family planning and secondly, it's seen to make bigger capital gains later on. However, buying a smaller 3-room flat also has its benefits. We look at 7 reasons why this flat type could be an underrated choice.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/buy-3-room-flat-now-own-2-properties-later-7-reasons-why-these-flats-are-an-underrated-choice/"
3,9/9/2022,"𝗔𝗱𝘃𝗶𝗰𝗲

A couple earning $300K per annum who owned a 5-room HDB reached out to us with their dilemma: should they pay the ABSD and purchase a 2nd property for investment? Read on to find out our thoughts about it!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/we-make-300k-per-annum-should-we-pay-absd-for-a-2nd-property-for-investment-when-we-own-a-5-room-hdb/"
4,9/9/2022,"𝗣𝗿𝗼𝗽𝗲𝗿𝘁𝘆 𝗣𝗶𝗰𝗸𝘀

A couple of weeks back, we shared about old, freehold shopping malls with surprising residential components. This time around, we've hunted for some of the more affordable ones that you can find!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/340000-for-an-apartment-here-are-6-surprisingly-affordable-homes-you-can-find-in-old-shopping-malls/"
5,8/9/2022,"𝗦𝘁𝗮𝗰𝗸𝗲𝗱 𝗜𝗻-𝗛𝗼𝘂𝘀𝗲

This week, we tour a unique single-floor penthouse in Mt Sinai. It’s got the advantage of a quiet location, and this penthouse at Leighwoods comes in at a huge 4,919 square feet. There are 4 large bedrooms here, and it’s also a great option for entertaining as you have multiple dining places besides the main dining room. Another good thing is that the floor plate is split in half (like a dumbbell layout) so there is more privacy for the bedrooms as well.

𝗪𝗮𝘁𝗰𝗵 𝗡𝗼𝘄 ➡️ https://youtu.be/z61IEua1eP4"
6,8/9/2022,"𝗨𝗻𝗶𝘁𝘀 𝗢𝗳 𝗧𝗵𝗲 𝗪𝗲𝗲𝗸

This week, we've shortlisted something a little different from our usual weekly curation - Penthouses and Jumbo units at HDBs, including a loft unit in Punggol!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/5-unique-hdbs-above-1560-sqft-special-penthouse-jumbo-units/"
7,8/9/2022,"𝗜𝗻𝘁𝗲𝗿𝗶𝗼𝗿

In this article, we tour an old 1978 HDB transformation into a minimalist and spacious home. Shrms and ZH, a young couple who bought a 44-year-old resale HDB flat, share their design process in transforming their space into a clutter-free and expansive home with insightful tips on having a realistic goal in mind for their home renovation.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/tour-an-old-1978-hdb-transformation-how-a-couple-created-a-minimalist-expansive-home/"
8,7/9/2022,"𝗖𝗼𝗺𝗺𝗲𝗻𝘁𝗮𝗿𝘆

Record high prices may be the talk of the town, but you may have also heard of the growing disparity between prices of HDBs and private properties, fuelling sentiments that private properties are increasingly out of reach to many aspiring HDB upgraders. In this article, we look at the data to find out more.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/how-bad-is-the-price-gap-between-resale-hdb-flats-and-private-condos-in-2022/"
9,7/9/2022,"𝗜𝗻𝘁𝗲𝗿𝗶𝗼𝗿

It may be a stressful period when you are trying to find the best home, the ideal contractor, and working within a budget. In this article, we share six tips on how you can perform due diligence to find a suitable ID/contractor for you.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/i-used-to-work-in-the-interior-industry-here-are-my-6-insider-tips-to-help-you-find-the-right-id/"
10,7/9/2022,"𝗕𝗧𝗢

The recent BTO exercise may have just ended, but for those who are still looking out to apply, here are the BTO sites you can look forward to in November 2022!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/we-review-the-november-2022-bto-launch-sites-queenstown-kallang-whampoa-bukit-batok-tengah-yishun/"
11,6/9/2022,"𝗧𝗮𝘀𝘁𝗲𝗺𝗮𝗸𝗲𝗿𝘀

It’s a special episode this week, as Reuben and Aiken tour a space that is undoubtedly famous in the design world in Singapore, but one that not many have seen before. It’s the office of the renowned Park + Associates in Singapore, and it’s not in a place where you would typically guess - an old 1960s former school compound.

𝗪𝗮𝘁𝗰𝗵 𝗡𝗼𝘄 ➡️ https://youtu.be/8aQN6k4Gb2g"
12,6/9/2022,"𝗖𝗼𝗻𝗱𝗼 𝗥𝗲𝘃𝗶𝗲𝘄𝘀

You may have read our review of the Bullion Park condo, but there's nothing like a resident's own take - even more so for someone who has stayed for 28 years. In this article, Belinda (not her real name) shares how she came across the development as well as what it's like in this nearly 3 decades old condo.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/ive-lived-at-bullion-park-for-28-years-heres-my-review-of-what-its-like-to-stay-at-an-old-but-spacious-condo/"
13,5/9/2022,"𝗖𝗼𝗺𝗺𝗲𝗻𝘁𝗮𝗿𝘆

A little-known plan surfaced in the URA exhibit this June - The Long Island Reclamation. This was first proposed in the 1991 concept plan which involves a roughly 15km reclamation along East Coast Beach. Here's the run down of the proposal and its possible implications.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/your-east-coast-sea-view-may-disappear-how-the-long-island-reclamation-could-affect-you/"
14,5/9/2022,"𝗣𝗿𝗼𝗽𝗲𝗿𝘁𝘆 𝗦𝘁𝗼𝗿𝗶𝗲𝘀

Bukit Timah is known for expensive homes - but not just any homes, some of the most expensive landed homes you can find in Singapore.

In this article, TJ explores one enclave within the Bukit Timah area - Namly Estate. The enclave is known for its freehold and spacious homes near popular primary schools, so read on if you’re interested to see what the area is like!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/touring-namly-estate-freehold-spacious-landed-homes-near-good-schools-in-a-central-location/"
15,4/9/2022,"𝗦𝘁𝗮𝗰𝗸𝗲𝗱 𝗟𝗶𝘃𝗶𝗻𝗴 𝗜𝗻

This week, we visit a 5-room BTO unit at Tampines GreenVerge. Homeowners Terrence and Roxanne knew they wanted a dark theme, as they wanted something different from their previous home. The 5-room unit on paper was 1,216 square feet, but to them, it somehow felt smaller than their old 4-room flat. As a result, it required a lot of creative adjustments to configure the space for their living needs.

𝗪𝗮𝘁𝗰𝗵 𝗡𝗼𝘄 ➡️ https://youtu.be/92rLAntiHZg"
16,4/9/2022,"𝗣𝗿𝗼𝗽𝗲𝗿𝘁𝘆 𝗦𝘁𝗼𝗿𝗶𝗲𝘀

In this article, Zat,  a single homebuyer in Singapore, shares his journey of an unconventional approach to buying a 3-room HDB and his renovation experience with a budget of $29k!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/my-journey-as-a-single-homebuyer-in-singapore-why-i-bought-my-3-room-hdb-spent-29k-to-renovate-it/"
17,3/9/2022,"**Insider Tour

**In this episode, we tour the showflat at Lentor Modern! The new launch is the latest addition to Guocoland’s Modern series of standout developments, riding the coattails of the successful Martin Modern and Midtown Modern. While the latter 2 are both in prime CCR territory, surrounded by equally tall buildings or condos, the product here at Lentor Modern is admittedly quite different.

**Watch** ➡️ https://youtu.be/zWr6pjOwHe0"
18,3/9/2022,"**Buying

**Anyone that has tried to buy a new launch recently knows how tedious and convoluted the process can be - which is astonishing considering the advances in technology today.

Today, we're releasing a new portal that we hope will make the process a lot more transparent and seamless.

Read on to find out how we aim to tackle some of these challenges, as well as our solutions to them.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/7-reasons-why-buying-a-new-launch-is-a-pain-today-why-we-built-a-new-platform/"
19,2/9/2022,"𝗡𝗲𝘄 𝗟𝗮𝘂𝗻𝗰𝗵 𝗥𝗲𝘃𝗶𝗲𝘄𝘀

This is our review of Lentor Modern, a 99-year leasehold new launch along Lentor Central.

Lentor Modern will likely be a game-changer to this area, breathing new life with a mall of its own and 25-storey towers that will soar above every building close by (for now, at least). It's also an integrated development with direct connectivity to Lentor MRT (TEL). Couple this with the lack of supply in the area, and the development seems to have all the ingredients of a hot new launch.

So if you're in the market for a new launch property, should you consider Lentor Modern? Read the full review to decide for yourself!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/lentor-modern-review/"
20,2/9/2022,"𝗔𝗱𝘃𝗶𝗰𝗲

A reader reached out seeking advice on whether to rent out their existing home, sell for a profit and purchase an investment property or purchase their dad's landed home. In this article, we share our thoughts on their situation!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/we-make-190k-per-year-should-we-sell-our-punggol-ec-for-650k-profit-or-hold-on-rent-it-out/"
21,2/9/2022,"𝗖𝗼𝗺𝗺𝗲𝗻𝘁𝗮𝗿𝘆

With new launch prices going up (especially Outside of the Central Region), are HDB upgraders getting priced out? We look at the data as well as what that could mean for the property market moving forward.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/are-hdb-upgraders-getting-priced-out-of-new-launches-in-2022/"
22,1/9/2022,"𝗧𝗮𝘀𝘁𝗲𝗺𝗮𝗸𝗲𝗿𝘀

This week, Reuben and  Aiken tour an inconspicuous cafe located at South Bridge Road. Named DAWN, it’s one of those spaces that iykyk, and for fans of that raw minimalist look you will definitely feel at home here. It’s not a huge space by any means, but that natural vibe here is very cosy indeed.

Besides the ambiance, the bakes are all done in-house by owner, Jane. For more on the space, please visit: https://www.instagram.com/dawnkissa/

Special thanks to Jane for hosting us and taking the time to show us around!

𝗪𝗮𝘁𝗰𝗵 𝗡𝗼𝘄 ➡️ https://youtu.be/R1YDbHtT1Cw"
23,1/9/2022,"𝗨𝗻𝗶𝘁𝘀 𝗢𝗳 𝗧𝗵𝗲 𝗪𝗲𝗲𝗸

Looking out for freehold, spacious homes to stay in? Here are 5 such developments we found over the past week!

Be sure to subscribe to our curated picks of the week to receive them straight when we hit publish!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/5-spacious-freehold-but-old-3-bedroom-condos-for-more-space/"
24,1/9/2022,"𝗜𝗻𝘁𝗲𝗿𝗶𝗼𝗿

In this article, we look at how E and XN integrate different elements from various styles while attempting to keep their home more on the minimalist side. The couple also gave insightful advice from their successful renovation journey despite the obstacles they faced during the circuit breaker period and how they achieved their cosy home with a budget of $55k!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/transforming-a-25-year-old-hdb-flat-into-a-cosy-minimalist-home-how-a-couple-achieved-this-with-55k/"
25,31/8/2022,"𝗔𝗻𝗮𝗹𝘆𝘀𝗶𝘀

You may have heard of the ""first mover advantage"", in that if you're the first to buy into a ""yet-to-peak"" area, you'd be paid off handsomely later on. After all, you are taking a bigger risk at the start before the area becomes more developed.

Well, that's in theory. What does that look like based on historical data? In this article, we look at 4 developments to see how they have performed over time and what that means for you.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/is-the-first-mover-advantage-for-new-launch-condos-real-heres-4-case-studies-to-see-if-its-true/"
26,31/8/2022,"𝗕𝗧𝗢

Thinking of applying for the latest August BTO exercise? Check our in-depth review with the best stacks, afternoon sun direction, floor plan analysis, site plan analysis and more!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/august-2022-bto-launch-review-ultimate-guide-to-choosing-the-best-unit/"
27,30/8/2022,"𝗣𝗿𝗼𝗽𝗲𝗿𝘁𝘆 𝗣𝗶𝗰𝗸𝘀

Living close to a shopping mall is great - but what about living atop one? In this article, we look at 8 old freehold shopping centres you may not have known had residential components!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/8-old-freehold-shopping-centres-you-can-surprisingly-buy-a-home-in-with-psf-prices-you-cant-find-today/"
28,30/8/2022,"𝗖𝗼𝗺𝗺𝗲𝗻𝘁𝗮𝗿𝘆

A new report revealed that Singapore housing is actually pretty affordable - contrary to what many Singaporeans think. But is this the whole truth? We find out more.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/singapore-housing-the-most-affordable-in-asian-cities-new-report-reveals-shocking-news-but-not-everyone-agrees/"
29,29/8/2022,"𝗜𝗻𝘁𝗲𝗿𝗶𝗼𝗿

Looking out for vintage/thrift wares for your home? These Instagram accounts may just be what you're looking out for!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/9-best-instagram-accounts-to-find-curated-thrift-vintage-home-items-in-singapore/"
30,29/8/2022,"𝗣𝗿𝗼𝗽𝗲𝗿𝘁𝘆 𝗦𝘁𝗼𝗿𝗶𝗲𝘀

For those looking to stay in a landed home in the east, you may have heard of the Frankel estate. The estate ranks relatively high when it comes to public transport, and its amenities are not too shabby either (there are two malls located nearby). However, the houses here don't come cheap - the lowest on offer at this time of writing is $5 million. Join TJ as she tours this landed enclave and shares her thoughts on the area!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/touring-frankel-estate-freehold-living-in-the-east-for-foodies-next-to-a-park-connector/"
31,28/8/2022,"**Living In

**This week, we visit an architect’s very own multi-generation family home that’s been named “Open House”. Architect couple Gwen and Berlin who are one half of the founding team at Formwerkz Architects, had to design a home around their young son, and their parents. 

From the outside, it’s hard to tell how the name of the home came about. But once you step through the home, you’ll soon understand why as the home was designed in an open nature to facilitate the different living spaces of the home, yet allow for privacy for members of the family.

**Watch Now** ➡️ https://www.youtube.com/watch?v=sssrfVJUdFk"
32,28/8/2022,"𝗜𝗻𝘃𝗲𝘀𝘁𝗺𝗲𝗻𝘁

You may have seen the recent news about certain freehold resale condos in the CCR costing less (in terms of $PSF) than new suburban condos that aren't even freehold. However, it doesn't quite paint the full picture. In this article, we look at the reasons why this may seem too good to be true.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/prime-resale-freehold-condos-cheaper-than-new-99-year-suburban-condos-too-good-to-be-true/"
33,27/8/2022,"𝗜𝗻𝘁𝗲𝗿𝗶𝗼𝗿

HDB flat layouts may seem to be cookie cutter, but there're ways you can renovate your home to fit your lifestyle. Here, we look at a typical 5-room flat's layout and showcase 8 different layouts you can consider!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/8-different-5-room-hdb-layout-ideas-to-make-the-most-use-of-space/"
34,27/8/2022,"𝗔𝗱𝘃𝗶𝗰𝗲

This couple in their late 20s reached out to us. Given their income, they couldn't purchase a new EC or a BTO, so they're effectively sandwiched into either purchasing a resale HDB or private condo. In this article, we share our thoughts on their available options given their income and objectives.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/we-make-18k-per-month-and-are-in-our-late-20s-should-we-get-a-new-launch-resale-condo-or-resale-hdb/"
35,26/8/2022,"𝗧𝗮𝘀𝘁𝗲𝗺𝗮𝗸𝗲𝗿𝘀

This week, it’s back to the East again as Reuben and  Aiken visit a very unique cafe in Siglap. Owner Heikal opened the Moroccan-inspired restaurant La Fez Bakery & Cafe, and has gone full out to ensure that when you step in, you’d almost feel like you’ve been transported to a cafe in Marrakesh. From the pink hues, to the palm trees, gold accents, and of course, that unique horseshoe arch at the entrance, it’s all very different from the typical cafe scene that you’d see in Singapore. Even the plates, trays, and accessories are all imported from Morocco to keep it authentic. 

Special thanks to Heikal for taking the time to show us around La Fez! For more, you can visit: https://www.instagram.com/wearelafez/

𝗪𝗮𝘁𝗰𝗵 𝗡𝗼𝘄 ➡️ https://youtu.be/BQ8RMHEro4w"
36,26/8/2022,"𝗥𝗲𝘀𝗮𝗹𝗲 𝗛𝗗𝗕

Not many people end up replacing their HDB windows, but for M (not her real name), this turned out to be the highlight of her renovation nightmare. Read on to find out about her unique renovation experience!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/my-10000-hdb-window-horror-story-how-it-caused-a-10-month-delay/"
37,25/8/2022,"𝗨𝗻𝗶𝘁𝘀 𝗢𝗳 𝗧𝗵𝗲 𝗪𝗲𝗲𝗸

This week, it's all about spaciousness again! Here are 5 flats under $600,000 that caught our attention over the past week!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/5-spacious-hdb-units-above-1300-sqft-priced-under-600000/"
38,25/8/2022,"𝗖𝗼𝗺𝗺𝗲𝗻𝘁𝗮𝗿𝘆

More people have begun to try running a business from home in recent years. Here are some things you should know when you want to run a home-based business in your HDB.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/singaporeans-are-now-selling-coffee-nasi-lemak-from-their-hdb-what-you-need-to-know-about-running-a-home-based-business/"
39,24/8/2022,"𝗖𝗼𝗻𝗱𝗼 𝗥𝗲𝘃𝗶𝗲𝘄𝘀

If you've been on the lookout for a sea-facing condo, you would likely have come across Cote D'Azur. The condo is right across East Coast Park and boasts great views of the sea. For those who are considering such development and want an inside look at it, here's a resident's review of the development!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/ive-stayed-at-cote-dazur-in-marine-parade-for-4-months-heres-my-review-of-this-sea-facing-condo/"
40,24/8/2022,"𝗜𝗻𝘁𝗲𝗿𝗶𝗼𝗿

Looking for budget furnishing options yet want something different from the usual? These 10 IKEA hacks may just be right up your alley!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/10-genius-ikea-hacks-we-found-on-tiktok-instagram-and-reddit/"
41,23/8/2022,"𝗦𝘁𝗮𝗰𝗸𝗲𝗱 𝗜𝗻𝘀𝗶𝗱𝗲𝗿 𝗧𝗼𝘂𝗿

Grandeur Park Residences is a recently completed 720 unit condo development located at Bedok South Avenue 3. It’s got a convenient location that’s very close by to Tanah Merah MRT station on the East West line.

𝗪𝗮𝘁𝗰𝗵 𝗡𝗼𝘄 ➡️ https://youtu.be/e07T4IdS-fM"
42,23/8/2022,"𝗖𝗼𝗺𝗺𝗲𝗻𝘁𝗮𝗿𝘆

The National Day Rally Speech in 2022 had a cautionary tone and potential implications to the property market - here are 5 highlights you should know about.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/5-key-highlights-that-will-impact-the-property-market-from-the-national-day-rally-2022/"
43,23/8/2022,"𝗜𝗻𝘁𝗲𝗿𝗶𝗼𝗿

In a thriving town in Punggol, Sha and Jim share how they transformed their brand new BTO into a cheery and earthy home with a budget of $29k! Throughout their renovation journey, they gave tips on how they coordinated their thoughts to create their ideal home and the thrifting process to accomplish a space that is adaptable to their needs.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/inside-an-amazing-29k-renovation-of-a-punggol-4-room-bto-how-a-couple-self-designed-thrifted-their-charming-home/"
44,22/8/2022,"𝗖𝗼𝗺𝗺𝗲𝗻𝘁𝗮𝗿𝘆

Like many things that we've come to accept because it's been ""done this way for a long time"", real estate practices can seem rather absurd, yet we accept them since that has always been ""the way things are seen/done"". Here are 8 such practices we think should get a second look!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/is-the-hdb-bto-system-still-relevant-8-outdated-property-practices-that-need-to-change-in-singapore/"
45,22/8/2022,"𝗣𝗿𝗼𝗽𝗲𝗿𝘁𝘆 𝗦𝘁𝗼𝗿𝗶𝗲𝘀

Looking out for a landed home in the east? A reader recently requested us to tour Eastwood - so off we went! In this article, we explore the landed enclave located in the (far) east which boasts an upcoming MRT and good amenities.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/touring-eastwood-landed-estate-affordable-99-year-landed-living-with-an-upcoming-mrt-good-amenities/"
46,21/8/2022,"𝗦𝘁𝗮𝗰𝗸𝗲𝗱 𝗟𝗶𝘃𝗶𝗻𝗴 𝗜𝗻

This week is a special episode as we tour a black and white walkup apartment that was built in the 1960s. Nicole (or better known as @ncwong on Instagram), and Clinton moved into their 1,000 square feet home, and had to make a few creative adjustments to make the home a better fit for their lifestyle.

𝗪𝗮𝘁𝗰𝗵 𝗡𝗼𝘄 ➡️ https://youtu.be/B2Xj3eWLOtg"
47,21/8/2022,"𝗖𝗼𝗻𝗱𝗼 𝗥𝗲𝘃𝗶𝗲𝘄𝘀

In this article, Cynthia (not her real name for privacy reasons) shares her take on The Scala (located in Serangoon). She initially purchased it as it's close to an MRT, has good amenities around and is close to good schools. Read more on her take on the 99-year leasehold condo.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/ive-lived-at-the-scala-at-serangoon-for-a-year-heres-my-review-of-what-its-like-for-families/"
